time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
128,3276,25,468,0.05,0.001,0.03536303713917732,1587
128,3283,25,469,0.05,0.001,0.01930459588766098,1591
128,3290,25,470,0.05,0.001,0.02036002092063427,1594
128,3297,25,471,0.05,0.001,0.02171414904296398,1598
128,3304,25,472,0.05,0.001,0.02738293446600437,1601
128,3311,25,473,0.05,0.001,0.02973080426454544,1605
128,3318,25,474,0.05,0.001,0.03268000856041908,1608
128,3325,25,475,0.05,0.001,0.026430197060108185,1612
128,3332,25,476,0.05,0.001,0.016646599397063255,1615
128,3339,25,477,0.05,0.001,0.03359667956829071,1619
128,3346,25,478,0.05,0.001,0.026103859767317772,1622
128,3353,26,479,0.05,0.001,0.02664310112595558,1626
128,3360,26,480,0.05,0.001,0.011917879804968834,1629
128,3367,26,481,0.05,0.001,0.024495357647538185,1633
128,3374,26,482,0.05,0.001,0.03314462676644325,1636
129,3381,26,483,0.05,0.001,0.017686020582914352,1640
128,3388,26,484,0.05,0.001,0.02413839101791382,1643
128,3395,26,485,0.05,0.001,0.017253007739782333,1647
128,3402,26,486,0.05,0.001,0.018236035481095314,1650
128,3409,26,487,0.05,0.001,0.016560910269618034,1654
129,3416,26,488,0.05,0.001,0.03186010196805,1657
129,3423,26,489,0.05,0.001,0.055151116102933884,1661
129,3430,26,490,0.05,0.001,0.020094875246286392,1664
129,3437,26,491,0.05,0.001,0.04565637186169624,1668
129,3444,26,492,0.05,0.001,0.018670476973056793,1671
129,3451,26,493,0.05,0.001,0.027058899402618408,1675
129,3458,26,494,0.05,0.001,0.017472093924880028,1678
129,3465,26,495,0.05,0.001,0.0202723927795887,1682
129,3472,26,496,0.05,0.001,0.015662292018532753,1685
129,3479,26,497,0.05,0.001,0.02649027854204178,1689
129,3486,26,498,0.05,0.001,0.033477578312158585,1692
129,3493,26,499,0.05,0.001,0.015543881803750992,1696
129,3500,27,500,0.05,0.001,0.012433639727532864,1699
129,3507,27,501,0.05,0.001,0.021789569407701492,1703
129,3514,27,502,0.05,0.001,0.022386785596609116,1706
129,3521,27,503,0.05,0.001,0.03503585234284401,1710
129,3528,27,504,0.05,0.001,0.02015458419919014,1713
129,3535,27,505,0.05,0.001,0.028884531930088997,1717
129,3542,27,506,0.05,0.001,0.02136879600584507,1720
129,3549,27,507,0.05,0.001,0.03698853403329849,1724
129,3556,27,508,0.05,0.001,0.02946033887565136,1727
129,3563,27,509,0.05,0.001,0.013889789581298828,1731
129,3570,27,510,0.05,0.001,0.029227562248706818,1734
129,3577,27,511,0.05,0.001,0.0374549962580204,1738
129,3584,27,512,0.05,0.001,0.02052358351647854,1741
129,3591,27,513,0.05,0.001,0.037723835557699203,1745
129,3598,27,514,0.05,0.001,0.04801880195736885,1748
129,3605,27,515,0.05,0.001,0.04358973354101181,1752
129,3612,27,516,0.05,0.001,0.03098481521010399,1755
129,3619,27,517,0.05,0.001,0.017228450626134872,1759
130,3626,27,518,0.05,0.001,0.0341956689953804,1762
129,3633,27,519,0.05,0.001,0.015813864767551422,1766
130,3640,27,520,0.05,0.001,0.03341345489025116,1769
130,3647,28,521,0.05,0.001,0.017623530700802803,1773
130,3654,28,522,0.05,0.001,0.02448919042944908,1776
130,3661,28,523,0.05,0.001,0.026106439530849457,1780
130,3668,28,524,0.05,0.001,0.028233347460627556,1783
130,3675,28,525,0.05,0.001,0.02227937988936901,1787
130,3682,28,526,0.05,0.001,0.022530613467097282,1790
130,3689,28,527,0.05,0.001,0.013571291230618954,1794
130,3696,28,528,0.05,0.001,0.021355751901865005,1797
130,3703,28,529,0.05,0.001,0.027823274955153465,1801
130,3710,28,530,0.05,0.001,0.030171357095241547,1804
130,3717,28,531,0.05,0.001,0.021643875166773796,1808
130,3724,28,532,0.05,0.001,0.02969551458954811,1811
130,3731,28,533,0.05,0.001,0.022564474493265152,1815
130,3738,28,534,0.05,0.001,0.023615874350070953,1818
130,3745,28,535,0.05,0.001,0.029932431876659393,1822
130,3752,28,536,0.05,0.001,0.03149157389998436,1825
130,3759,28,537,0.05,0.001,0.016976473852992058,1829
130,3766,28,538,0.05,0.001,0.02986474148929119,1832
130,3773,28,539,0.05,0.001,0.023855989798903465,1836
130,3780,28,540,0.05,0.001,0.025775307789444923,1839
130,3787,28,541,0.05,0.001,0.029927246272563934,1843
130,3794,29,542,0.05,0.001,0.03424066677689552,1846
130,3801,29,543,0.05,0.001,0.01825159601867199,1850
130,3808,29,544,0.05,0.001,0.026846464723348618,1853
130,3815,29,545,0.05,0.001,0.032512471079826355,1857
130,3822,29,546,0.05,0.001,0.026455743238329887,1860
130,3829,29,547,0.05,0.001,0.024772491306066513,1864
130,3836,29,548,0.05,0.001,0.01593874581158161,1867
130,3843,29,549,0.05,0.001,0.020320333540439606,1871
130,3850,29,550,0.05,0.001,0.028817810118198395,1874
130,3857,29,551,0.05,0.001,0.03676997125148773,1878
130,3864,29,552,0.05,0.001,0.007811799179762602,1881
130,3871,29,553,0.05,0.001,0.023489613085985184,1885
131,3878,29,554,0.05,0.001,0.02332732453942299,1888
130,3885,29,555,0.05,0.001,0.014516403898596764,1892
131,3892,29,556,0.05,0.001,0.019079523161053658,1895
131,3899,29,557,0.05,0.001,0.03225139155983925,1899
131,3906,29,558,0.05,0.001,0.017786335200071335,1902
131,3913,29,559,0.05,0.001,0.043414272367954254,1906
131,3920,29,560,0.05,0.001,0.03152406960725784,1909
131,3927,29,561,0.05,0.001,0.02810000069439411,1913
131,3934,29,562,0.05,0.001,0.018142851069569588,1916
131,3941,30,563,0.05,0.001,0.04049476981163025,1920
131,3948,30,564,0.05,0.001,0.03153309226036072,1923
131,3955,30,565,0.05,0.001,0.021867521107196808,1927
131,3962,30,566,0.05,0.001,0.020866740494966507,1930
131,3969,30,567,0.05,0.001,0.03772063925862312,1934
131,3976,30,568,0.05,0.001,0.01841040514409542,1937
131,3983,30,569,0.05,0.001,0.01803523302078247,1941
131,3990,30,570,0.05,0.001,0.01598498970270157,1944
131,3997,30,571,0.05,0.001,0.0198647603392601,1948
131,4004,30,572,0.05,0.001,0.02808973751962185,1951
131,4011,30,573,0.05,0.001,0.028142428025603294,1955
131,4018,30,574,0.05,0.001,0.02870539017021656,1958
131,4025,30,575,0.05,0.001,0.027640845626592636,1962
131,4032,30,576,0.05,0.001,0.01925904117524624,1965
131,4039,30,577,0.05,0.001,0.03344632685184479,1969
131,4046,30,578,0.05,0.001,0.029628749936819077,1972
131,4053,30,579,0.05,0.001,0.03357618674635887,1976
131,4060,30,580,0.05,0.001,0.027837999165058136,1979
131,4067,30,581,0.05,0.001,0.02466404065489769,1983
131,4074,30,582,0.05,0.001,0.027940355241298676,1986
131,4081,30,583,0.05,0.001,0.012505130842328072,1990
131,4088,31,584,0.05,0.001,0.02806568332016468,1993
131,4095,31,585,0.05,0.001,0.021999044343829155,1997
131,4102,31,586,0.05,0.001,0.0273563414812088,2000
131,4109,31,587,0.05,0.001,0.023216016590595245,2004
131,4116,31,588,0.05,0.001,0.03777310997247696,2007
131,4123,31,589,0.05,0.001,0.01914374902844429,2011
131,4130,31,590,0.05,0.001,0.022801116108894348,2014
131,4137,31,591,0.05,0.001,0.037421319633722305,2018
131,4144,31,592,0.05,0.001,0.03112231381237507,2021
132,4151,31,593,0.05,0.001,0.02300029620528221,2025
132,4158,31,594,0.05,0.001,0.027915852144360542,2028
132,4165,31,595,0.05,0.001,0.044137049466371536,2032
132,4172,31,596,0.05,0.001,0.034606996923685074,2035
132,4179,31,597,0.05,0.001,0.023585479706525803,2039
132,4186,31,598,0.05,0.001,0.03103892132639885,2042
132,4193,31,599,0.05,0.001,0.023444706574082375,2046
132,4200,31,600,0.05,0.001,0.028982700780034065,2049
132,4207,31,601,0.05,0.001,0.02855883538722992,2053
132,4214,31,602,0.05,0.001,0.03465445712208748,2056
132,4221,31,603,0.05,0.001,0.030766872689127922,2060
